year,state,party
2017,ALABAMA,Republican
2018,ALABAMA,Republican
2019,ALABAMA,Republican
2022,ALABAMA,Republican
2023,ALABAMA,Republican
2017,ALASKA,Independent
2018,ALASKA,Independent
2019,ALASKA,Republican
2022,ALASKA,Republican
2023,ALASKA,Republican
2022,AMERICAN SAMOA,Democrat
2023,AMERICAN SAMOA,Democrat
2017,ARIZONA,Republican
2018,ARIZONA,Republican
2019,ARIZONA,Republican
2022,ARIZONA,Republican
2023,ARIZONA,Democrat
2017,ARKANSAS,Republican
2018,ARKANSAS,Republican
2019,ARKANSAS,Republican
2022,ARKANSAS,Republican
2023,ARKANSAS,Republican
2017,CALIFORNIA,Democrat
2018,CALIFORNIA,Democrat
2019,CALIFORNIA,Democrat
2022,CALIFORNIA,Democrat
2023,CALIFORNIA,Democrat
2017,COLORADO,Democrat
2018,COLORADO,Democrat
2019,COLORADO,Democrat
2022,COLORADO,Democrat
2023,COLORADO,Democrat
2017,CONNECTICUT,Democrat
2018,CONNECTICUT,Democrat
2019,CONNECTICUT,Democrat
2022,CONNECTICUT,Democrat
2023,CONNECTICUT,Democrat
2017,DELAWARE,Democrat
2018,DELAWARE,Democrat
2019,DELAWARE,Democrat
2022,DELAWARE,Democrat
2023,DELAWARE,Democrat
2017,DISTRICT OF COLUMBIA,Democrat
2018,DISTRICT OF COLUMBIA,Democrat
2019,DISTRICT OF COLUMBIA,Democrat
2022,DISTRICT OF COLUMBIA,Democrat
2023,DISTRICT OF COLUMBIA,Democrat
2017,FLORIDA,Republican
2018,FLORIDA,Republican
2019,FLORIDA,Republican
2022,FLORIDA,Republican
2023,FLORIDA,Republican
2017,GEORGIA,Republican
2018,GEORGIA,Republican
2019,GEORGIA,Republican
2022,GEORGIA,Republican
2023,GEORGIA,Republican
2017,GUAM,Republican
2018,GUAM,Republican
2019,GUAM,Republican
2022,GUAM,Democrat
2023,GUAM,Democrat
2017,HAWAII,Democrat
2018,HAWAII,Democrat
2019,HAWAII,Democrat
2022,HAWAII,Democrat
2023,HAWAII,Democrat
2017,IDAHO,Republican
2018,IDAHO,Republican
2019,IDAHO,Republican
2022,IDAHO,Republican
2023,IDAHO,Republican
2017,ILLINOIS,Republican
2018,ILLINOIS,Republican
2019,ILLINOIS,Republican
2022,ILLINOIS,Democrat
2023,ILLINOIS,Democrat
2017,INDIANA,Republican
2018,INDIANA,Republican
2019,INDIANA,Republican
2022,INDIANA,Republican
2023,INDIANA,Republican
2017,IOWA,Republican
2018,IOWA,Republican
2019,IOWA,Republican
2022,IOWA,Republican
2023,IOWA,Republican
2017,KANSAS,Republican
2018,KANSAS,Republican
2019,KANSAS,Republican
2022,KANSAS,Democrat
2023,KANSAS,Democrat
2017,KENTUCKY,Republican
2018,KENTUCKY,Republican
2019,KENTUCKY,Republican
2022,KENTUCKY,Democrat
2023,KENTUCKY,Democrat
2017,LOUISIANA,Democrat
2018,LOUISIANA,Democrat
2019,LOUISIANA,Democrat
2022,LOUISIANA,Democrat
2023,LOUISIANA,Democrat
2017,MAINE,Republican
2018,MAINE,Republican
2019,MAINE,Republican
2022,MAINE,Democrat
2023,MAINE,Democrat
2017,MARYLAND,Republican
2018,MARYLAND,Republican
2019,MARYLAND,Republican
2022,MARYLAND,Republican
2023,MARYLAND,Democrat
2017,MASSACHUSETTS,Republican
2018,MASSACHUSETTS,Republican
2019,MASSACHUSETTS,Republican
2022,MASSACHUSETTS,Republican
2023,MASSACHUSETTS,Democrat
2017,MICHIGAN,Republican
2018,MICHIGAN,Republican
2019,MICHIGAN,Republican
2022,MICHIGAN,Democrat
2023,MICHIGAN,Democrat
2017,MINNESOTA,Democrat
2018,MINNESOTA,Democrat
2019,MINNESOTA,Democrat
2022,MINNESOTA,Democrat
2023,MINNESOTA,Democrat
2017,MISSISSIPPI,Republican
2018,MISSISSIPPI,Republican
2019,MISSISSIPPI,Republican
2022,MISSISSIPPI,Republican
2023,MISSISSIPPI,Republican
2017,MISSOURI,Republican
2018,MISSOURI,Republican
2019,MISSOURI,Republican
2022,MISSOURI,Republican
2023,MISSOURI,Republican
2017,MONTANA,Democrat
2018,MONTANA,Democrat
2019,MONTANA,Democrat
2022,MONTANA,Republican
2023,MONTANA,Republican
2017,NEBRASKA,Republican
2018,NEBRASKA,Republican
2019,NEBRASKA,Republican
2022,NEBRASKA,Republican
2023,NEBRASKA,Republican
2017,NEVADA,Republican
2018,NEVADA,Republican
2019,NEVADA,Republican
2022,NEVADA,Democrat
2023,NEVADA,Republican
2017,NEW HAMPSHIRE,Republican
2018,NEW HAMPSHIRE,Republican
2019,NEW HAMPSHIRE,Republican
2022,NEW HAMPSHIRE,Republican
2023,NEW HAMPSHIRE,Republican
2017,NEW JERSEY,Republican
2018,NEW JERSEY,Democrat
2019,NEW JERSEY,Democrat
2022,NEW JERSEY,Democrat
2023,NEW JERSEY,Democrat
2017,NEW MEXICO,Republican
2018,NEW MEXICO,Republican
2019,NEW MEXICO,Republican
2022,NEW MEXICO,Democrat
2023,NEW MEXICO,Democrat
2017,NEW YORK,Democrat
2018,NEW YORK,Democrat
2019,NEW YORK,Democrat
2022,NEW YORK,Democrat
2023,NEW YORK,Democrat
2017,NORTH CAROLINA,Democrat
2018,NORTH CAROLINA,Democrat
2019,NORTH CAROLINA,Democrat
2022,NORTH CAROLINA,Democrat
2023,NORTH CAROLINA,Democrat
2017,NORTH DAKOTA,Republican
2018,NORTH DAKOTA,Republican
2019,NORTH DAKOTA,Republican
2022,NORTH DAKOTA,Republican
2023,NORTH DAKOTA,Republican
2017,OHIO,Republican
2018,OHIO,Republican
2019,OHIO,Republican
2022,OHIO,Republican
2023,OHIO,Republican
2017,OKLAHOMA,Republican
2018,OKLAHOMA,Republican
2019,OKLAHOMA,Republican
2022,OKLAHOMA,Republican
2023,OKLAHOMA,Republican
2017,OREGON,Democrat
2018,OREGON,Democrat
2019,OREGON,Democrat
2022,OREGON,Democrat
2023,OREGON,Democrat
2017,PENNSYLVANIA,Democrat
2018,PENNSYLVANIA,Democrat
2019,PENNSYLVANIA,Democrat
2022,PENNSYLVANIA,Democrat
2023,PENNSYLVANIA,Democrat
2017,PUERTO RICO,New Progressive Party
2018,PUERTO RICO,New Progressive Party
2019,PUERTO RICO,New Progressive Party
2022,PUERTO RICO,New Progressive Party
2023,PUERTO RICO,New Progressive Party
2017,RHODE ISLAND,Democrat
2018,RHODE ISLAND,Democrat
2019,RHODE ISLAND,Democrat
2022,RHODE ISLAND,Democrat
2023,RHODE ISLAND,Democrat
2017,SOUTH CAROLINA,Republican
2018,SOUTH CAROLINA,Republican
2019,SOUTH CAROLINA,Republican
2022,SOUTH CAROLINA,Republican
2023,SOUTH CAROLINA,Republican
2017,SOUTH DAKOTA,Republican
2018,SOUTH DAKOTA,Republican
2019,SOUTH DAKOTA,Republican
2022,SOUTH DAKOTA,Republican
2023,SOUTH DAKOTA,Republican
2017,TENNESSEE,Republican
2018,TENNESSEE,Republican
2019,TENNESSEE,Republican
2022,TENNESSEE,Republican
2023,TENNESSEE,Republican
2017,TEXAS,Republican
2018,TEXAS,Republican
2019,TEXAS,Republican
2022,TEXAS,Republican
2023,TEXAS,Republican
2017,UTAH,Republican
2018,UTAH,Republican
2019,UTAH,Republican
2022,UTAH,Republican
2023,UTAH,Republican
2017,VERMONT,Republican
2018,VERMONT,Republican
2019,VERMONT,Republican
2022,VERMONT,Republican
2023,VERMONT,Republican
2017,VIRGIN ISLANDS,Independent
2018,VIRGIN ISLANDS,Independent
2019,VIRGIN ISLANDS,Independent
2022,VIRGIN ISLANDS,Democrat
2023,VIRGIN ISLANDS,Democrat
2017,VIRGINIA,Democrat
2018,VIRGINIA,Democrat
2019,VIRGINIA,Democrat
2022,VIRGINIA,Republican
2023,VIRGINIA,Republican
2017,WASHINGTON,Democrat
2018,WASHINGTON,Democrat
2019,WASHINGTON,Democrat
2022,WASHINGTON,Democrat
2023,WASHINGTON,Democrat
2017,WEST VIRGINIA,Democrat
2018,WEST VIRGINIA,Democrat
2019,WEST VIRGINIA,Democrat
2022,WEST VIRGINIA,Republican
2023,WEST VIRGINIA,Republican
2017,WISCONSIN,Republican
2018,WISCONSIN,Republican
2019,WISCONSIN,Republican
2022,WISCONSIN,Democrat
2023,WISCONSIN,Democrat
2017,WYOMING,Republican
2018,WYOMING,Republican
2019,WYOMING,Republican
2022,WYOMING,Republican
2023,WYOMING,Republican
