state,year,adjust,allotment,extendcert,face,onlineshop,postpone,report,telephonic,waiveini,waiverec,bbce,bbce_fpl
ALABAMA,2022,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,-2.099630917283912
ALABAMA,2023,0.0,0.3333333333333333,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,1,-2.099630917283912
ALASKA,2022,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,0.6680643827721526
ARIZONA,2022,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,1,0.07498681847442489
ARIZONA,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.07498681847442489
ARKANSAS,2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ARKANSAS,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
CALIFORNIA,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0.6680643827721526
CALIFORNIA,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,1,0.6680643827721526
COLORADO,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1,0.6680643827721526
COLORADO,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1,0.6680643827721526
CONNECTICUT,2022,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0.6680643827721526
CONNECTICUT,2023,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0.6680643827721526
DELAWARE,2022,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0.6680643827721526
DELAWARE,2023,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0.6680643827721526
DISTRICT OF COLUMBIA,2022,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,1.0,1.0,1,0.6680643827721526
DISTRICT OF COLUMBIA,2023,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,1.0,1.0,1,0.6680643827721526
FLORIDA,2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
FLORIDA,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
GEORGIA,2022,0.5,0.4166666666666667,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1,-2.099630917283912
GEORGIA,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-2.099630917283912
GUAM,2022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.7157832672558799
GUAM,2023,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.7157832672558799
HAWAII,2022,0.0,1.0,0.0,0.5,1.0,0.5,0.0,0.5,0.75,0.75,1,0.6680643827721526
HAWAII,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1,0.6680643827721526
IDAHO,2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-2.099630917283912
IDAHO,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-2.099630917283912
ILLINOIS,2022,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,-0.7157832672558799
ILLINOIS,2023,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-0.7157832672558799
INDIANA,2022,0.5,0.4166666666666667,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1,-2.099630917283912
INDIANA,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-2.099630917283912
IOWA,2022,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.9134757886884554
IOWA,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.9134757886884554
KANSAS,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0,0.0
KANSAS,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0,0.0
KENTUCKY,2022,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
KENTUCKY,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
LOUISIANA,2022,0.25,1.0,0.25,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
LOUISIANA,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
MAINE,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0.6680643827721526
MAINE,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0.6680643827721526
MARYLAND,2022,0.5,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
MARYLAND,2023,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
MASSACHUSETTS,2022,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.08333333333333333,0.9166666666666666,1.0,1,0.6680643827721526
MASSACHUSETTS,2023,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.6680643827721526
MICHIGAN,2022,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1,0.6680643827721526
MICHIGAN,2023,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.6680643827721526
MINNESOTA,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.6680643827721526
MINNESOTA,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.6680643827721526
MISSISSIPPI,2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
MISSISSIPPI,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
MISSOURI,2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
MISSOURI,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
MONTANA,2022,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
MONTANA,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
NEBRASKA,2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.7157832672558799
NEBRASKA,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.7157832672558799
NEVADA,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1,0.6680643827721526
NEVADA,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
NEW HAMPSHIRE,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.6680643827721526
NEW HAMPSHIRE,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1,0.6680643827721526
NEW JERSEY,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0.07498681847442489
NEW JERSEY,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0.07498681847442489
NEW MEXICO,2022,0.6666666666666666,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0.6680643827721526
NEW MEXICO,2023,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1,0.6680643827721526
NEW YORK,2022,0.5833333333333334,1.0,0.25,0.0,1.0,0.3333333333333333,0.0,1.0,0.8333333333333334,0.75,1,-1.3088608315536077
NEW YORK,2023,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,-1.3088608315536077
NORTH CAROLINA,2022,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0.6680643827721526
NORTH CAROLINA,2023,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0.6680643827721526
OHIO,2022,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1,0.6680643827721526
OHIO,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
OKLAHOMA,2022,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1,-2.099630917283912
OKLAHOMA,2023,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1,-2.099630917283912
OREGON,2022,0.5,1.0,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.5,1,0.6680643827721526
OREGON,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.6680643827721526
PENNSYLVANIA,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
PENNSYLVANIA,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
RHODE ISLAND,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0.07498681847442489
RHODE ISLAND,2023,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0.07498681847442489
SOUTH CAROLINA,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,-2.099630917283912
SOUTH CAROLINA,2023,0.0,0.16666666666666666,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1,-2.099630917283912
SOUTH DAKOTA,2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SOUTH DAKOTA,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
TENNESSEE,2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
TENNESSEE,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
TEXAS,2022,0.5833333333333334,1.0,0.5833333333333334,0.0,1.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,1,-0.7157832672558799
TEXAS,2023,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1,-0.7157832672558799
UTAH,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
UTAH,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
VERMONT,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.07498681847442489
VERMONT,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.07498681847442489
VIRGIN ISLANDS,2022,0.25,1.0,0.25,0.0,0.0,0.75,0.0,0.0,0.75,0.75,1,-0.32039822439072757
VIRGIN ISLANDS,2023,0.5,0.3333333333333333,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.8333333333333334,1,-0.32039822439072757
VIRGINIA,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0.6680643827721526
VIRGINIA,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1,0.6680643827721526
WASHINGTON,2022,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
WASHINGTON,2023,0.5,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
WEST VIRGINIA,2022,0.25,1.0,0.25,0.0,1.0,0.25,0.0,0.0,0.25,0.25,1,0.6680643827721526
WEST VIRGINIA,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
WISCONSIN,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.6680643827721526
WISCONSIN,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.6680643827721526
WYOMING,2022,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
WYOMING,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
